sentiment,type_token_ratio,avg_word_length,exclamation_dens,question_dens,emoji_count,positive_ratio,negative_ratio,sentiment_polarity,first_person_dens,sentence_count
-1,0.92,4.92,0.0,0.0,0.0,0.176,0.0,-0.0625,0.0,1.0
-1,1.0,5.076923076923077,0.0,0.0,0.0,0.118,0.0,-0.024999999999999994,0.0,1.0
-1,0.9722222222222222,5.527777777777778,0.0,0.0,0.0,0.12,0.25,-0.011111111111111108,0.0,1.0
-1,0.8717948717948718,5.564102564102564,0.0,0.0,0.0,0.126,0.227,-0.0875,0.0,1.0
-1,0.8571428571428571,4.357142857142857,0.0,0.0,0.0,0.0,0.193,-0.4,0.0,1.0
-1,0.8974358974358975,5.076923076923077,0.0,0.0,0.0,0.08,0.0,-0.14166666666666666,0.0,1.0
-1,0.8235294117647058,4.470588235294118,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,1.0
-1,0.875,4.875,0.0,0.0,0.0,0.257,0.107,-0.033333333333333326,0.0,1.0
-1,0.8857142857142857,5.142857142857143,0.0,0.0,0.0,0.126,0.138,-0.1,0.0,1.0
-1,1.0,5.137931034482759,0.0,0.0,0.0,0.134,0.338,-0.1714285714285714,0.0,1.0
-1,1.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,-0.04652777777777778,0.0,1.0
-1,0.8214285714285714,4.5,0.0,0.0,0.0,0.08,0.0,-0.1111111111111111,0.0,1.0
-1,0.8292682926829268,4.560975609756097,0.0,0.0,0.0,0.0,0.122,-0.125,0.0,1.0
-1,0.967741935483871,4.645161290322581,0.0,0.0,0.0,0.076,0.342,-0.225,0.0,1.0
-1,1.0,5.555555555555555,0.0,0.0,0.0,0.0,0.304,-0.2,0.0,1.0
-1,0.8787878787878788,5.575757575757576,0.0,0.0,0.0,0.183,0.132,-0.18333333333333335,0.0,1.0
-1,1.0,5.533333333333333,0.0,0.0,0.0,0.15,0.176,-0.125,0.0,1.0
-1,0.896551724137931,5.620689655172414,0.0,0.0,0.0,0.038,0.0,-0.1,0.0,1.0
-1,1.0,6.7272727272727275,0.0,0.0,0.0,0.0,0.167,-0.1,0.0,1.0
-1,0.875,5.59375,0.0,0.0,0.0,0.057,0.352,-0.19999999999999996,0.0,1.0
-1,1.0,4.5,0.0,0.0,0.0,0.0,0.538,-0.8,0.0,1.0
-1,0.8421052631578947,4.894736842105263,0.0,0.0,0.0,0.0,0.157,-0.06666666666666667,0.0,1.0
-1,0.926829268292683,5.073170731707317,0.0,0.0,0.0,0.119,0.096,-0.11666666666666665,0.0,1.0
-1,0.92,4.48,0.0,0.0,0.0,0.159,0.201,-0.15,0.0,1.0
-1,1.0,6.571428571428571,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,1.0
-1,0.6410256410256411,5.589743589743589,0.0,0.0,0.0,0.267,0.286,-0.21249999999999994,0.0,1.0
-1,0.7575757575757576,4.909090909090909,0.0,0.0,0.0,0.106,0.14,-0.209375,0.0,1.0
-1,1.0,4.291666666666667,0.0,0.0,0.0,0.075,0.276,-0.17111111111111107,0.0,1.0
-1,1.0,7.4,0.0,0.0,0.0,0.0,0.084,-0.14027777777777778,0.0,1.0
-1,0.8846153846153846,5.769230769230769,0.0,0.0,0.0,0.0,0.107,-0.34722222222222227,0.0,1.0
-1,0.9583333333333334,5.25,0.0,0.0,0.0,0.095,0.196,-0.2333333333333333,0.0,1.0
-1,1.0,6.407407407407407,0.0,0.0,0.0,0.069,0.373,-0.15,0.0,1.0
-1,0.925,5.175,0.0,0.0,0.0,0.049,0.18,-0.07333333333333333,0.0,1.0
-1,0.8484848484848485,4.7272727272727275,0.0,0.0,0.0,0.326,0.0,-0.022916666666666696,0.0,1.0
-1,0.92,5.28,0.0,0.0,0.0,0.0,0.459,-0.025,0.0,1.0
-1,0.9655172413793104,4.344827586206897,0.0,0.0,0.0,0.075,0.1,-0.08333333333333333,0.0,1.0
-1,0.8888888888888888,4.777777777777778,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,1.0
-1,0.9090909090909091,4.878787878787879,0.0,0.0,0.0,0.0,0.13,-0.5,0.0,1.0
-1,1.0,6.714285714285714,0.0,0.0,0.0,0.0,0.277,-0.4,0.0,1.0
-1,0.9166666666666666,5.333333333333333,0.0,0.0,0.0,0.191,0.065,-0.25,0.0,1.0
-1,1.0,4.428571428571429,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,1.0
